V1,V2,V3
-123.671826625387,48.4,41.3430099487305
-123.655108359133,48.4,21.6030101776123
-123.638390092879,48.4,65.1330108642578
-123.621671826625,48.4,90.0530090332031
-123.604953560372,48.4,147.663009643555
-123.588235294118,48.4,154.704132080078
-123.571517027864,48.4,158.40412902832
-123.55479876161,48.4,107.524124145508
-123.538080495356,48.4,68.2741241455078
-123.521362229102,48.4,65.9041290283203
-123.504643962848,48.4,35.7941246032715
-123.487925696594,48.4,18.154125213623
-123.471207430341,48.4,-2.61587452888489
-123.454489164087,48.4,-7.1925106048584
-123.437770897833,48.4,-10.6725101470947
-123.421052631579,48.4,-12.6125106811523
-123.404334365325,48.4,-13.2625102996826
-123.387616099071,48.4,-12.6025104522705
-123.370897832817,48.4,-11.3625106811523
-123.354179566563,48.4,-9.74251079559326
-123.33746130031,48.4,-8.58250999450684
-123.320743034056,48.4,-12.9643993377686
-123.304024767802,48.4,-7.33439970016479
-123.287306501548,48.4,-10.7143993377686
-123.270588235294,48.4,-16.2444000244141
-123.25386996904,48.4,-21.5044002532959
-123.237151702786,48.4,-28.2043991088867
-123.220433436533,48.4,-37.8044013977051
-123.203715170279,48.4,-48.5443992614746
-123.186996904025,48.4,-53.941349029541
-123.170278637771,48.4,-54.5813484191895
-123.153560371517,48.4,-53.5713500976562
-123.136842105263,48.4,-47.1713485717773
-123.120123839009,48.4,-35.7013511657715
-123.103405572755,48.4,-34.5213508605957
-123.086687306502,48.4,-76.5413513183594
-123.069969040248,48.4,-118.991348266602
-123.053250773994,48.4,-127.138694763184
-123.03653250774,48.4,-135.40869140625
-123.019814241486,48.4,-149.108688354492
-123.003095975232,48.4,-155.948684692383
-122.986377708978,48.4,-150.478698730469
-122.969659442724,48.4,-123.39868927002
-122.952941176471,48.4,-113.748695373535
-122.936222910217,48.4,-99.9686889648438
-122.919504643963,48.4,-84.1219329833984
-122.902786377709,48.4,-77.0919342041016
-122.886068111455,48.4,-84.0119323730469
-122.869349845201,48.4,-87.4419326782227
-122.852631578947,48.4,-90.3319320678711
-122.835913312693,48.4,-89.8319320678711
-122.81919504644,48.4,-87.0319290161133
-122.802476780186,48.4,-82.2619323730469
-122.785758513932,48.4,-78.814697265625
-122.769040247678,48.4,-75.0847015380859
-122.752321981424,48.4,-72.2647018432617
-122.73560371517,48.4,-69.2947006225586
-122.718885448916,48.4,-71.4246978759766
-122.702167182663,48.4,-79.0147018432617
-122.685448916409,48.4,-94.2846984863281
-122.668730650155,48.4,-54.5946998596191
-122.652012383901,48.4,7.09642791748047
-122.635294117647,48.4,37.146427154541
-122.618575851393,48.4,75.5564270019531
-122.601857585139,48.4,109.366424560547
-122.585139318885,48.4,39.7264289855957
-122.568421052632,48.4,3.95642757415771
-122.551702786378,48.4,-4.16357231140137
-122.534984520124,48.4,5.8864278793335
-122.51826625387,48.4,68.7127227783203
-122.501547987616,48.4,32.4427185058594
-122.484829721362,48.4,2.2727198600769
-122.468111455108,48.4,0.682719886302948
-122.451393188854,48.4,0.72271990776062
-122.434674922601,48.4,10.4927196502686
-122.417956656347,48.4,0.652719855308533
-122.401238390093,48.4,0.992719888687134
-122.384520123839,48.4,2.40098071098328
-122.367801857585,48.4,4.64098072052002
-122.351083591331,48.4,4.14098072052002
-122.334365325077,48.4,3.08098077774048
-122.317647058824,48.4,16.3809814453125
